x y w logw
0.70917101 0.74750352 1.947691e-03 -2.7105
0.29082899 0.25249648 1.947691e-03 -2.7105
0.27963060 0.72091553 2.191357e-03 -2.6593
0.72036940 0.27908447 2.191357e-03 -2.6593
0.22876951 0.70274121 1.641468e-03 -2.7848
0.77123049 0.29725879 1.641468e-03 -2.7848
0.25870699 0.28395357 2.084491e-03 -2.6810
0.74129301 0.71604643 2.084491e-03 -2.6810
0.57412885 0.77901235 2.156657e-03 -2.6662
0.42587115 0.22098765 2.156657e-03 -2.6662
0.38160096 0.75932913 2.105798e-03 -2.6766
0.61839904 0.24067087 2.105798e-03 -2.6766
0.22002662 0.56274850 2.272966e-03 -2.6434
0.77997338 0.43725150 2.272966e-03 -2.6434
0.21993588 0.40555786 2.173143e-03 -2.6629
0.78006412 0.59444214 2.173143e-03 -2.6629
0.61645747 0.75383606 2.281280e-03 -2.6418
0.38354253 0.24616394 2.281280e-03 -2.6418
0.34879899 0.72128317 2.309688e-03 -2.6364
0.65120101 0.27871683 2.309688e-03 -2.6364
0.27725636 0.57458610 1.922817e-03 -2.7161
0.72274364 0.42541390 1.922817e-03 -2.7161
0.25901381 0.38619096 1.639152e-03 -2.7854
0.74098619 0.61380904 1.639152e-03 -2.7854
0.67878904 0.77256073 1.596103e-03 -2.7969
0.32121096 0.22743927 1.596103e-03 -2.7969
0.28404555 0.78316475 1.999249e-03 -2.6991
0.71595445 0.21683525 1.999249e-03 -2.6991
0.22062953 0.63960798 2.182551e-03 -2.6610
